Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions,Year,Total Attendance,Total_Attendances,Total_Over4hrs,Over4hr_Percentage,Total_Emergency,Emergency_Rate,Waited_12hr_Rate,Log_Total_Attendances,Prediction
MSitAE-JUNE-2021,L83087,NHS ENGLAND SOUTH WEST ,OKEHAMPTON MEDICAL CENTRE,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021.0,110,110,0,0.0,0,0.0,0.0,4.709530201312334,0.1272330147060692
MSitAE-JUNE-2021,AQN04,NHS ENGLAND SOUTH EAST ,PHL LYMINGTON UTC,0,0,2141,0,0,141,0,0,29,0,0,0,0,0,0,0,0,0,2021.0,2141,2141,29,1.35450723960766,0,0.0,0.0,7.669495251007694,2.5482630994119946
MSitAE-JUNE-2021,RPC,NHS ENGLAND SOUTH EAST ,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,0,0,943,0,0,0,0,0,9,0,0,0,0,0,0,0,4,538,2021.0,943,943,9,0.9544008483563097,4,0.0042417815482502655,0.0,6.8501261661455,0.7610793096612869
MSitAE-JUNE-2021,Y02676,NHS ENGLAND SOUTH EAST ,BRIGHTON STATION HEALTH CENTRE,0,0,1145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021.0,1145,1145,0,0.0,0,0.0,0.0,7.044032897274685,0.7610793096612869
MSitAE-JUNE-2021,RXK,NHS ENGLAND MIDLANDS ,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,14632,1062,6883,357,0,0,3955,202,11,24,0,0,311,0,2851,0,0,543,2021.0,22577,22577,4168,18.46126589006511,2851,0.12627895646011428,0.0,10.024731259821491,16.338173571835508
MSitAE-JUNE-2021,C82010,NHS ENGLAND MIDLANDS ,OAKHAM MEDICAL PRACTICE,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021.0,235,235,0,0.0,0,0.0,0.0,5.4638318050256105,0.14057975583697055
MSitAE-JUNE-2021,RWY,NHS ENGLAND NORTH EAST AND YORKSHIRE ,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,15252,0,0,0,0,0,2111,0,0,0,0,0,324,0,3073,0,0,978,2021.0,15252,15252,2111,13.840807762916338,3073,0.20148177288224495,0.0,9.632531483999934,20.50923772196594
MSitAE-JUNE-2021,AAH,NHS ENGLAND SOUTH WEST ,TETBURY HOSPITAL TRUST LTD,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021.0,255,255,0,0.0,0,0.0,0.0,5.545177444479562,0.14057975583697055
MSitAE-JUNE-2021,RY4,NHS ENGLAND EAST OF ENGLAND ,HERTFORDSHIRE COMMUNITY NHS TRUST,0,0,944,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2021.0,944,944,2,0.211864406779661,0,0.0,0.0,6.851184927493743,0.7610793096612869
MSitAE-JUNE-2021,NTV0W,NHS ENGLAND SOUTH EAST ,WOKING WALK IN CENTRE,0,0,2963,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,2021.0,2963,2963,138,4.657441781977726,0,0.0,0.0,7.994294986415977,3.127441483433498
