Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions,Year
MSitAE-SEPTEMBER-2021,R0B,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,12386,1260,6729,330,0,155,3646,9,86,106,0,0,305,0,4156,24,0,1363,2021
MSitAE-SEPTEMBER-2021,RLT,NHS ENGLAND MIDLANDS ,GEORGE ELIOT HOSPITAL NHS TRUST,6041,0,1700,162,0,197,1265,0,13,0,0,0,337,0,1587,0,0,136,2021
MSitAE-SEPTEMBER-2021,Y03571,NHS ENGLAND MIDLANDS ,CORBY URGENT CARE CENTRE,0,0,6658,0,0,355,0,0,38,0,0,0,0,0,0,0,0,0,2021
MSitAE-SEPTEMBER-2021,Y02428,NHS ENGLAND EAST OF ENGLAND ,PUTNOE MEDICAL CENTRE WALK IN CENTRE,0,0,1604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
MSitAE-SEPTEMBER-2021,RBK,NHS ENGLAND MIDLANDS ,WALSALL HEALTHCARE NHS TRUST,7253,0,3998,521,0,136,2351,0,91,79,0,0,784,5,2827,0,0,763,2021
MSitAE-SEPTEMBER-2021,RXG,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,2021
MSitAE-SEPTEMBER-2021,RA4,NHS ENGLAND SOUTH WEST ,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,5296,0,0,0,0,0,581,0,0,0,0,0,45,0,1759,0,0,316,2021
MSitAE-SEPTEMBER-2021,RR7,NHS ENGLAND NORTH EAST AND YORKSHIRE ,GATESHEAD HEALTH NHS FOUNDATION TRUST,5608,0,2705,6,0,36,1391,0,23,0,0,0,532,0,1782,0,0,570,2021
MSitAE-SEPTEMBER-2021,RD8,NHS ENGLAND EAST OF ENGLAND ,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,8019,0,5001,539,0,86,2267,0,59,121,0,0,294,0,1695,0,0,536,2021
MSitAE-SEPTEMBER-2021,AC008,NHS ENGLAND NORTH WEST ,ROSSENDALE MINOR INJURIES UNIT,0,0,1055,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2021
MSitAE-SEPTEMBER-2021,RTQ,NHS ENGLAND SOUTH WEST ,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,0,0,4161,0,0,591,0,0,12,0,0,0,0,0,0,0,0,10,2021
MSitAE-SEPTEMBER-2021,RK5,NHS ENGLAND MIDLANDS ,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,9556,0,5094,26,0,46,2059,0,490,7,0,6,456,10,3416,0,8,386,2021
MSitAE-SEPTEMBER-2021,RXR,NHS ENGLAND NORTH WEST ,EAST LANCASHIRE HOSPITALS NHS TRUST,10843,0,6557,221,0,137,4182,0,833,33,0,17,1039,23,4743,0,9,801,2021
MSitAE-SEPTEMBER-2021,RF4,NHS ENGLAND LONDON,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",13676,2181,11577,0,0,0,8898,271,1533,0,0,0,1266,454,4014,0,0,782,2021
MSitAE-SEPTEMBER-2021,RD1,NHS ENGLAND SOUTH WEST ,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,7295,0,406,0,0,5,2665,0,15,0,0,0,554,0,2324,0,7,1535,2021
MSitAE-SEPTEMBER-2021,NTPAD,NHS ENGLAND SOUTH EAST ,PRACTICE PLUS GROUP SURGICAL CENTRE - ST MARYS PORTSMOUTH,0,0,4911,0,0,403,0,0,707,0,0,1,0,0,0,0,0,0,2021
